"flex href","align-center src","truncate","bg-gray-med_light","ml-1 href","align-center src 2","truncate 2","truncate 3","truncate href","text-black-main","flex-center","flex-center 2","flex-center 3","bg-gray-light","next-m:flex href","flex","min-mt:order-3 src","participant-name","participant-name 2","height-content","height-content 2","height-content 3","height-content 4","h-[18px] src"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/usa/","https://cci2.oddsportal.com/country-flags/us.svg","USA","MLS Next Pro","https://www.oddsportal.com/football/usa/mls-next-pro/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/usa/mls-next-pro/carolina-core-inter-miami-GfJhoR1S/","04:30","https://www.oddsportal.com/serve/images/team-logo/Men/CvZPBD5n-rLzCf0ea.png?250704131425","Carolina Core","Inter Miami II","1.48","4.60","4.85","17","https://www.oddsportal.com/serve/images/team-logo/Men/GlLIlQRt-UwKTVGeG.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/usa/","https://cci2.oddsportal.com/country-flags/us.svg","USA","USL Cup","https://www.oddsportal.com/football/usa/usl-cup/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/usa/usl-cup/fc-naples-tampa-bay-6DFAI9Ca/","04:30","https://www.oddsportal.com/serve/images/team-logo/Men/dncAork9-dbT715Hq.png?250704131425","FC Naples","Tampa Bay","3.41","3.12","2.05","11","https://www.oddsportal.com/serve/images/team-logo/Men/SIt9g483-KGMbGrj6.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/ecuador/","https://cci2.oddsportal.com/country-flags/ec.svg","Ecuador","Liga Pro","https://www.oddsportal.com/football/ecuador/liga-pro/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/ecuador/liga-pro/libertad-dep-cuenca-nLzNRt44/","05:00","https://www.oddsportal.com/serve/images/team-logo/Men/6NJ9c3AK-QRv6EbJC.png?250704131425","Libertad","Dep. Cuenca","2.57","3.26","2.60","19","https://www.oddsportal.com/serve/images/team-logo/Men/riLupU4n-UcMAfaUd.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/venezuela/","https://cci2.oddsportal.com/country-flags/ve.svg","Venezuela","Liga FUTVE","https://www.oddsportal.com/football/venezuela/liga-futve/","Tomorrow, 05 Jul  - Clausura","1","X","2","B's","https://www.oddsportal.com/football/venezuela/liga-futve/deportivo-la-guaira-monagas-SjvubtYO/","05:00","https://www.oddsportal.com/serve/images/team-logo/Men/xGgrzX6n-hCFsixCJ.png?250704131425","La Guaira","Monagas","2.12","3.30","3.21","16","https://www.oddsportal.com/serve/images/team-logo/Men/0E4zG1mh-2gmAxwcQ.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/bolivia/","https://cci2.oddsportal.com/country-flags/bo.svg","Bolivia","Copa Pacena","https://www.oddsportal.com/football/bolivia/copa-pacena/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/bolivia/copa-pacena/guabira-independiente-6T5gYogl/","05:30","https://www.oddsportal.com/serve/images/team-logo/Men/hQUgemoh-0rjUYb4J.png?250704131425","Guabira","Independiente","1.61","3.65","4.86","13","https://www.oddsportal.com/serve/images/team-logo/Men/8S71S9UE-AwFyOU7M.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/usa/","https://cci2.oddsportal.com/country-flags/us.svg","USA","MLS Next Pro","https://www.oddsportal.com/football/usa/mls-next-pro/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/usa/mls-next-pro/austin-fc-los-angeles-fc-QT4Ou5Pk/","05:30","https://www.oddsportal.com/serve/images/team-logo/Men/ziD1r593-lll2UJ09.png?250704131425","Austin FC II","Los Angeles FC II","1.55","4.29","4.51","15","https://www.oddsportal.com/serve/images/team-logo/Men/8UWFBXQc-vcL7IBV2.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/usa/","https://cci2.oddsportal.com/country-flags/us.svg","USA","MLS","https://www.oddsportal.com/football/usa/mls/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/usa/mls/fc-dallas-minnesota-united-8OK8ipdK/","05:45","https://www.oddsportal.com/serve/images/team-logo/Men/MuHIgkWE-W2EojdRP.png?250704131425","FC Dallas","Minnesota United","2.69","3.60","2.47","19","https://www.oddsportal.com/serve/images/team-logo/Men/YcIsqkRc-CEokxMWO.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/new-zealand/","https://cci2.oddsportal.com/country-flags/nz.svg","New Zealand","Chatham Cup","https://www.oddsportal.com/football/new-zealand/chatham-cup/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/new-zealand/chatham-cup/wanaka-fc-christchurch-thuMl81l/","06:00","https://www.oddsportal.com/serve/images/team-logo/Men/WSaDRnUc-URi084KG.png?250704131425","Wanaka FC","Christchurch","33.50","12.50","1.05","4","https://www.oddsportal.com/serve/images/team-logo/Men/lzcbvEl9-fcc2PHA2.png?250704131425"
"","","","","","","","","","","","","","","https://www.oddsportal.com/football/new-zealand/chatham-cup/dunedin-city-royals-nelson-suburbs-fc-lIrUnnW0/","06:00","https://www.oddsportal.com/serve/images/team-logo/Men/8SoFq6Qt-jRJOWZFG.png?250704131425","Dunedin City Royals","Nelson Suburbs","2.85","3.90","2.04","11","https://www.oddsportal.com/serve/images/team-logo/Men/AXDnIjmh-d0EVjhU6.png?250704131425"
"https://www.oddsportal.com/football/","https://cci2.oddsportal.com/sport_icons/soccer.svg","Football","/","https://www.oddsportal.com/football/usa/","https://cci2.oddsportal.com/country-flags/us.svg","USA","USL Championship","https://www.oddsportal.com/football/usa/usl-championship/","Tomorrow, 05 Jul","1","X","2","B's","https://www.oddsportal.com/football/usa/usl-championship/el-paso-locomotive-san-antonio-fc-EDcZZMnT/","06:00","https://www.oddsportal.com/serve/images/team-logo/Men/bPIn0BRt-O2f8cdaI.png?250704131425","El Paso","San Antonio","2.03","3.36","3.27","18","https://www.oddsportal.com/serve/images/team-logo/Men/StgyE8k9-rPOqReUn.png?250704131425"
